"quality","class","variable","value"
6,"Mediocre","Fixed acidity",1.48203330271757
5,"Mediocre","Fixed acidity",4.18148189212944
6,"Mediocre","Fixed acidity",1.48203330271757
6,"Mediocre","Fixed acidity",2.68816990649734
5,"Mediocre","Fixed acidity",2.51586467738594
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",2.68816990649734
5,"Mediocre","Fixed acidity",2.51586467738594
6,"Mediocre","Fixed acidity",0.218461622567335
6,"Mediocre","Fixed acidity",0.218461622567335
6,"Mediocre","Fixed acidity",0.850247462642454
6,"Mediocre","Fixed acidity",-1.21741528669429
6,"Mediocre","Fixed acidity",1.82664376094036
6,"Mediocre","Fixed acidity",-1.21741528669429
5,"Mediocre","Fixed acidity",1.07998776812431
4,"Poor","Fixed acidity",1.25229299723571
6,"Mediocre","Fixed acidity",1.30972807360617
6,"Mediocre","Fixed acidity",2.28612437190408
4,"Poor","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",1.30972807360617
5,"Mediocre","Fixed acidity",2.28612437190408
5,"Mediocre","Fixed acidity",2.28612437190408
5,"Mediocre","Fixed acidity",1.94151391368129
7,"Good","Fixed acidity",2.11381914279269
7,"Good","Fixed acidity",1.99894899005176
6,"Mediocre","Fixed acidity",-0.413324217507782
7,"Good","Fixed acidity",1.5969034554585
5,"Mediocre","Fixed acidity",-0.585629446619177
8,"Good","Fixed acidity",-1.90663620313988
7,"Good","Fixed acidity",1.07998776812431
5,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",-0.987674981212434
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",0.333331775308267
6,"Mediocre","Fixed acidity",2.34355944827455
6,"Mediocre","Fixed acidity",2.05638406642222
6,"Mediocre","Fixed acidity",0.103591469826405
6,"Mediocre","Fixed acidity",2.51586467738594
4,"Poor","Fixed acidity",-0.0687137592849907
6,"Mediocre","Fixed acidity",2.80304005923827
5,"Mediocre","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",2.80304005923827
6,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.0112786829145246
7,"Good","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",1.02255269175385
6,"Mediocre","Fixed acidity",-1.15998021032383
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",2.80304005923827
6,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.0687137592849907
6,"Mediocre","Fixed acidity",0.505637004419662
5,"Mediocre","Fixed acidity",0.735377309901523
5,"Mediocre","Fixed acidity",0.735377309901523
6,"Mediocre","Fixed acidity",1.82664376094036
5,"Mediocre","Fixed acidity",1.7692086845699
5,"Mediocre","Fixed acidity",1.71177360819943
5,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",0.965117615383384
6,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",1.19485792086524
6,"Mediocre","Fixed acidity",-0.413324217507782
4,"Poor","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",0.735377309901523
5,"Mediocre","Fixed acidity",0.677942233531058
7,"Good","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",0.677942233531058
5,"Mediocre","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",0.677942233531058
5,"Mediocre","Fixed acidity",0.907682539012919
7,"Good","Fixed acidity",-0.298454064766851
5,"Mediocre","Fixed acidity",-0.585629446619177
4,"Poor","Fixed acidity",-0.0112786829145246
7,"Good","Fixed acidity",0.218461622567335
6,"Mediocre","Fixed acidity",-0.930239904841969
5,"Mediocre","Fixed acidity",1.36716314997664
5,"Mediocre","Fixed acidity",0.850247462642454
5,"Mediocre","Fixed acidity",4.35378712124083
6,"Mediocre","Fixed acidity",0.620507157160593
5,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",0.792812386271988
5,"Mediocre","Fixed acidity",1.36716314997664
7,"Good","Fixed acidity",2.11381914279269
6,"Mediocre","Fixed acidity",-0.643064522989642
4,"Poor","Fixed acidity",-0.700499599360108
6,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.470759293878247
6,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",2.17125421916315
5,"Mediocre","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",1.71177360819943
5,"Mediocre","Fixed acidity",0.965117615383384
6,"Mediocre","Fixed acidity",1.71177360819943
5,"Mediocre","Fixed acidity",-0.815369752101038
5,"Mediocre","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",0.850247462642454
5,"Mediocre","Fixed acidity",-0.0687137592849907
6,"Mediocre","Fixed acidity",1.42459822634711
5,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",1.42459822634711
5,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",1.42459822634711
5,"Mediocre","Fixed acidity",2.86047513560874
6,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",0.103591469826405
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",0.850247462642454
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",0.448201928049197
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.126148835655456
3,"Poor","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",0.505637004419662
5,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",-1.84920112676941
6,"Mediocre","Fixed acidity",-0.757934675730573
6,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",1.99894899005176
6,"Mediocre","Fixed acidity",1.30972807360617
6,"Mediocre","Fixed acidity",-0.757934675730573
6,"Mediocre","Fixed acidity",-0.757934675730573
4,"Poor","Fixed acidity",-0.470759293878247
4,"Poor","Fixed acidity",0.448201928049197
5,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.528194370248712
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",0.792812386271988
5,"Mediocre","Fixed acidity",1.30972807360617
5,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",0.907682539012919
6,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.183583912025921
5,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.700499599360108
4,"Poor","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",-1.10254513395336
6,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",0.677942233531058
5,"Mediocre","Fixed acidity",0.333331775308267
5,"Mediocre","Fixed acidity",-0.585629446619177
5,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",0.505637004419662
5,"Mediocre","Fixed acidity",-1.0451100575829
5,"Mediocre","Fixed acidity",1.88407883731083
5,"Mediocre","Fixed acidity",1.5969034554585
6,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",0.16102654619687
6,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-0.585629446619177
5,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-1.15998021032383
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",-0.126148835655456
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",0.448201928049197
6,"Mediocre","Fixed acidity",0.505637004419662
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",-0.470759293878247
6,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",-0.241018988396386
6,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",0.620507157160593
5,"Mediocre","Fixed acidity",0.677942233531058
6,"Mediocre","Fixed acidity",-0.241018988396386
6,"Mediocre","Fixed acidity",-0.241018988396386
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-0.815369752101038
6,"Mediocre","Fixed acidity",-0.815369752101038
5,"Mediocre","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",-0.700499599360108
6,"Mediocre","Fixed acidity",-0.757934675730573
5,"Mediocre","Fixed acidity",-1.0451100575829
5,"Mediocre","Fixed acidity",0.390766851678732
5,"Mediocre","Fixed acidity",-1.0451100575829
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",0.907682539012919
6,"Mediocre","Fixed acidity",0.965117615383384
6,"Mediocre","Fixed acidity",0.965117615383384
5,"Mediocre","Fixed acidity",0.16102654619687
6,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",1.42459822634711
5,"Mediocre","Fixed acidity",0.218461622567335
7,"Good","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",0.620507157160593
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",0.16102654619687
7,"Good","Fixed acidity",-1.84920112676941
6,"Mediocre","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",0.0461563934559404
7,"Good","Fixed acidity",-0.0687137592849907
7,"Good","Fixed acidity",0.0461563934559404
7,"Good","Fixed acidity",-0.0687137592849907
5,"Mediocre","Fixed acidity",-0.528194370248712
6,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",2.63073483012688
5,"Mediocre","Fixed acidity",1.42459822634711
4,"Poor","Fixed acidity",-0.815369752101038
6,"Mediocre","Fixed acidity",2.45842960101548
5,"Mediocre","Fixed acidity",1.42459822634711
6,"Mediocre","Fixed acidity",0.850247462642454
6,"Mediocre","Fixed acidity",1.42459822634711
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",0.448201928049197
5,"Mediocre","Fixed acidity",-0.757934675730573
7,"Good","Fixed acidity",-1.96407127951034
5,"Mediocre","Fixed acidity",-0.930239904841969
5,"Mediocre","Fixed acidity",-0.930239904841969
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",-0.700499599360108
7,"Good","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.700499599360108
8,"Good","Fixed acidity",-0.298454064766851
6,"Mediocre","Fixed acidity",-1.38972051580569
4,"Poor","Fixed acidity",-0.470759293878247
6,"Mediocre","Fixed acidity",-1.38972051580569
3,"Poor","Fixed acidity",1.19485792086524
4,"Poor","Fixed acidity",1.88407883731083
5,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",-0.413324217507782
7,"Good","Fixed acidity",-0.930239904841969
7,"Good","Fixed acidity",-0.930239904841969
7,"Good","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",-1.33228543943523
7,"Good","Fixed acidity",1.5969034554585
5,"Mediocre","Fixed acidity",-0.987674981212434
6,"Mediocre","Fixed acidity",1.30972807360617
5,"Mediocre","Fixed acidity",-0.700499599360108
6,"Mediocre","Fixed acidity",0.907682539012919
5,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",-1.10254513395336
6,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",0.563072080790128
5,"Mediocre","Fixed acidity",0.563072080790128
5,"Mediocre","Fixed acidity",-0.183583912025921
6,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",0.563072080790128
7,"Good","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",0.563072080790128
7,"Good","Fixed acidity",-0.0687137592849907
7,"Good","Fixed acidity",1.94151391368129
6,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-1.44715559217616
5,"Mediocre","Fixed acidity",-0.470759293878247
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-0.872804828471503
6,"Mediocre","Fixed acidity",-0.815369752101038
6,"Mediocre","Fixed acidity",-0.872804828471503
6,"Mediocre","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",-0.355889141137316
5,"Mediocre","Fixed acidity",-0.815369752101038
4,"Poor","Fixed acidity",-0.585629446619177
7,"Good","Fixed acidity",0.448201928049197
7,"Good","Fixed acidity",1.19485792086524
7,"Good","Fixed acidity",0.275896698937801
4,"Poor","Fixed acidity",-0.700499599360108
6,"Mediocre","Fixed acidity",-0.355889141137316
6,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",0.505637004419662
6,"Mediocre","Fixed acidity",-0.413324217507782
6,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",0.275896698937801
5,"Mediocre","Fixed acidity",0.333331775308267
6,"Mediocre","Fixed acidity",0.390766851678732
7,"Good","Fixed acidity",1.36716314997664
6,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",1.36716314997664
5,"Mediocre","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",1.02255269175385
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-0.700499599360108
7,"Good","Fixed acidity",-0.0112786829145246
6,"Mediocre","Fixed acidity",-0.700499599360108
7,"Good","Fixed acidity",-0.0112786829145246
3,"Poor","Fixed acidity",-0.0112786829145246
5,"Mediocre","Fixed acidity",0.333331775308267
7,"Good","Fixed acidity",-0.528194370248712
7,"Good","Fixed acidity",-0.528194370248712
7,"Good","Fixed acidity",-0.872804828471503
7,"Good","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",0.505637004419662
5,"Mediocre","Fixed acidity",-0.643064522989642
6,"Mediocre","Fixed acidity",-1.27485036306476
6,"Mediocre","Fixed acidity",-0.528194370248712
6,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",0.563072080790128
6,"Mediocre","Fixed acidity",0.448201928049197
6,"Mediocre","Fixed acidity",0.965117615383384
7,"Good","Fixed acidity",0.620507157160593
6,"Mediocre","Fixed acidity",-0.585629446619177
6,"Mediocre","Fixed acidity",0.16102654619687
5,"Mediocre","Fixed acidity",-1.73433097402848
6,"Mediocre","Fixed acidity",-0.872804828471503
6,"Mediocre","Fixed acidity",0.0461563934559404
6,"Mediocre","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",0.735377309901523
6,"Mediocre","Fixed acidity",0.0461563934559404
6,"Mediocre","Fixed acidity",0.0461563934559404
6,"Mediocre","Fixed acidity",-0.872804828471503
5,"Mediocre","Fixed acidity",0.16102654619687
7,"Good","Fixed acidity",0.16102654619687
6,"Mediocre","Fixed acidity",0.620507157160593
4,"Poor","Fixed acidity",0.0461563934559404
5,"Mediocre","Fixed acidity",0.16102654619687
7,"Good","Fixed acidity",0.218461622567335
5,"Mediocre","Fixed acidity",-0.987674981212434
5,"Mediocre","Fixed acidity",-0.528194370248712
6,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",-0.528194370248712
5,"Mediocre","Fixed acidity",-0.987674981212434
6,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",0.275896698937801
4,"Poor","Fixed acidity",2.11381914279269
7,"Good","Fixed acidity",-0.643064522989642
5,"Mediocre","Fixed acidity",-1.21741528669429
7,"Good","Fixed acidity",0.735377309901523
7,"Good","Fixed acidity",0.907682539012919
7,"Good","Fixed acidity",1.02255269175385
7,"Good","Fixed acidity",0.850247462642454
7,"Good","Fixed acidity",-0.0112786829145246
7,"Good","Fixed acidity",1.07998776812431
7,"Good","Fixed acidity",1.07998776812431
7,"Good","Fixed acidity",-0.0112786829145246
7,"Good","Fixed acidity",0.333331775308267
7,"Good","Fixed acidity",0.333331775308267
7,"Good","Fixed acidity",0.333331775308267
7,"Good","Fixed acidity",-0.0112786829145246
7,"Good","Fixed acidity",-0.0687137592849907
7,"Good","Fixed acidity",1.07998776812431
6,"Mediocre","Fixed acidity",-0.413324217507782
5,"Mediocre","Fixed acidity",0.103591469826405
6,"Mediocre","Fixed acidity",0.390766851678732
6,"Mediocre","Fixed acidity",0.677942233531058
7,"Good","Fixed acidity",-1.10254513395336
5,"Mediocre","Fixed acidity",-0.183583912025921
6,"Mediocre","Fixed acidity",0.103591469826405
5,"Mediocre","Fixed acidity",-0.700499599360108
5,"Mediocre","Fixed acidity",-0.987674981212434
6,"Mediocre","Fixed acidity",0.275896698937801
6,"Mediocre","Fixed acidity",0.103591469826405
